(09/08/2014,List((0.000170,0.000166)))
(12/09/2015,List((0.000131,0.000126)))
(07/08/2016,List((0.000277,0.000225)))
(12/04/2014,List((0.000448,0.000417)))
(19/10/2016,List((0.000223,0.000217)))
(13/09/2014,List((0.000267,0.000203)))
(10/05/2017,List((0.001382,0.001200)))
(20/11/2015,List((0.000131,0.000127)))
(16/08/2016,List((0.000263,0.000235)))
(05/09/2015,List((0.000131,0.000124)))
(21/09/2015,List((0.000132,0.000125)))
(07/12/2015,List((0.000137,0.000126)))
(10/09/2017,List((0.001581,0.001254)))
(04/02/2015,List((0.000148,0.000143)))
(15/12/2016,List((0.000220,0.000214)))
(05/08/2014,List((0.000203,0.000186)))
(28/07/2014,List((0.000220,0.000202)))
(27/11/2016,List((0.000222,0.000216)))
(02/01/2014,List((0.000449,0.000331)))
(03/10/2015,List((0.000123,0.000120)))
(03/09/2015,List((0.000128,0.000122)))
(19/09/2014,List((0.000307,0.000275)))
(15/02/2017,List((0.000212,0.000203)))
(07/01/2015,List((0.000175,0.000166)))
(19/07/2014,List((0.000251,0.000242)))
(28/12/2016,List((0.000231,0.000220)))
(02/07/2014,List((0.000260,0.000223)))
(31/01/2014,List((0.001560,0.001509)))
(27/08/2014,List((0.000151,0.000138)))
(11/12/2016,List((0.000224,0.000213)))
(10/02/2016,List((0.000304,0.000290)))
(23/08/2014,List((0.000126,0.000119)))
(22/01/2014,List((0.002038,0.001365)))
(10/01/2015,List((0.000173,0.000161)))
(14/12/2015,List((0.000150,0.000142)))
(10/08/2016,List((0.000249,0.000235)))
(16/12/2015,List((0.000156,0.000146)))
(12/05/2015,List((0.000124,0.000092)))
(08/03/2016,List((0.000234,0.000218)))
(26/03/2014,List((0.000659,0.000637)))
(10/11/2016,List((0.000231,0.000224)))
(29/08/2014,List((0.000133,0.000126)))
(14/11/2014,List((0.000250,0.000232)))
(11/12/2014,List((0.000214,0.000203)))
(02/08/2017,List((0.001823,0.001746)))
(04/04/2015,List((0.000130,0.000126)))
(12/11/2016,List((0.000229,0.000220)))
(16/06/2014,List((0.000378,0.000360)))
(27/02/2016,List((0.000268,0.000253)))
(03/12/2015,List((0.000134,0.000128)))
(19/10/2014,List((0.000259,0.000241)))
(13/10/2016,List((0.000229,0.000221)))
(13/02/2015,List((0.000149,0.000140)))
(15/10/2016,List((0.000228,0.000221)))
(21/09/2017,List((0.000864,0.000736)))
(24/07/2014,List((0.000228,0.000215)))
(12/11/2014,List((0.000248,0.000223)))
(22/08/2015,List((0.000146,0.000136)))
(30/04/2016,List((0.000231,0.000225)))
(08/05/2014,List((0.000479,0.000467)))
(05/03/2017,List((0.000211,0.000202)))
(25/04/2016,List((0.000231,0.000224)))
(08/04/2017,List((0.000433,0.000398)))
(14/07/2015,List((0.000200,0.000193)))
(11/02/2015,List((0.000142,0.000138)))
(27/12/2015,List((0.000145,0.000138)))
(10/06/2014,List((0.000383,0.000361)))
(21/12/2013,List((0.000700,0.000354)))
(29/10/2017,List((0.001237,0.000993)))
(13/08/2015,List((0.000161,0.000156)))
(24/06/2015,List((0.000191,0.000178)))
(29/07/2017,List((0.001774,0.001662)))
(24/07/2016,List((0.000254,0.000243)))
(25/04/2014,List((0.000588,0.000446)))
(16/02/2014,List((0.001527,0.001366)))
(26/01/2014,List((0.001870,0.001498)))
(13/12/2014,List((0.000205,0.000202)))
(25/07/2015,List((0.000193,0.000187)))
(29/02/2016,List((0.000258,0.000248)))
(28/05/2016,List((0.000238,0.000228)))
(01/01/2015,List((0.000186,0.000182)))
(29/01/2015,List((0.000148,0.000139)))
(06/01/2016,List((0.000138,0.000134)))
(15/11/2015,List((0.000132,0.000125)))
(19/06/2017,List((0.003253,0.003141)))
(06/05/2016,List((0.000227,0.000219)))
(29/12/2013,List((0.000492,0.000399)))
(27/05/2017,List((0.002571,0.001700)))
(22/07/2016,List((0.000240,0.000234)))
(16/04/2014,List((0.000803,0.000590)))
(27/06/2016,List((0.000288,0.000278)))
(14/02/2014,List((0.001674,0.001459)))
(14/10/2017,List((0.001115,0.001026)))
(16/12/2013,List((0.000866,0.000150)))
(08/08/2015,List((0.000171,0.000158)))
(19/02/2017,List((0.000210,0.000196)))
(07/10/2015,List((0.000123,0.000119)))
(04/12/2014,List((0.000238,0.000229)))
(04/11/2015,List((0.000167,0.000145)))
(16/10/2017,List((0.001254,0.001056)))
(26/12/2014,List((0.000193,0.000183)))
(02/03/2016,List((0.000251,0.000242)))
(06/04/2017,List((0.000487,0.000436)))
(27/10/2015,List((0.000121,0.000115)))
(11/11/2015,List((0.000129,0.000119)))
(23/04/2016,List((0.000227,0.000222)))
(26/02/2015,List((0.000144,0.000140)))
(31/10/2014,List((0.000243,0.000235)))
(28/04/2015,List((0.000104,0.000098)))
(28/08/2015,List((0.000134,0.000125)))
(19/11/2015,List((0.000135,0.000129)))
(21/11/2016,List((0.000224,0.000216)))
(30/01/2015,List((0.000151,0.000142)))
(19/04/2017,List((0.000460,0.000442)))
(21/01/2017,List((0.000214,0.000204)))
(28/11/2015,List((0.000134,0.000128)))
(12/05/2017,List((0.001263,0.001182)))
(07/05/2017,List((0.001430,0.001157)))
(28/08/2017,List((0.001825,0.001751)))
(19/05/2016,List((0.000234,0.000224)))
(18/04/2014,List((0.000654,0.000594)))
(14/11/2016,List((0.000225,0.000221)))
(29/09/2017,List((0.001129,0.001001)))
(17/06/2017,List((0.003384,0.003135)))
(21/07/2017,List((0.002023,0.001898)))
(25/08/2016,List((0.000235,0.000225)))
(23/11/2016,List((0.000224,0.000215)))
(20/05/2014,List((0.000473,0.000443)))
(08/09/2014,List((0.000189,0.000165)))
(20/12/2014,List((0.000212,0.000192)))
(20/12/2016,List((0.000220,0.000216)))
(11/09/2014,List((0.000208,0.000185)))
(31/03/2014,List((0.000571,0.000496)))
(24/05/2014,List((0.000429,0.000411)))
(22/11/2017,List((0.002053,0.001373)))
(27/04/2014,List((0.000474,0.000437)))
(02/12/2016,List((0.000221,0.000212)))
(23/06/2014,List((0.000343,0.000322)))
(02/09/2016,List((0.000237,0.000231)))
(29/05/2015,List((0.000201,0.000171)))
(06/08/2015,List((0.000175,0.000166)))
(28/03/2016,List((0.000219,0.000213)))
(25/05/2017,List((0.003712,0.002921)))
(31/01/2016,List((0.000318,0.000214)))
(15/06/2017,List((0.003110,0.002764)))
(26/10/2014,List((0.000253,0.000243)))
(12/03/2015,List((0.000145,0.000142)))
(25/11/2014,List((0.000252,0.000237)))
(15/12/2014,List((0.000196,0.000188)))
(22/08/2017,List((0.001731,0.001616)))
(17/10/2016,List((0.000225,0.000221)))
(29/05/2017,List((0.002843,0.002427)))
(25/01/2015,List((0.000171,0.000161)))
(05/03/2015,List((0.000145,0.000139)))
(11/07/2016,List((0.000293,0.000265)))
(24/09/2014,List((0.000353,0.000310)))
(17/11/2015,List((0.000133,0.000129)))
(30/01/2017,List((0.000210,0.000203)))
