(24/06/2017,List((0.003139,0.003135)))
(15/03/2014,List((0.000867,0.000840)))
(14/05/2017,List((0.001198,0.001274)))
(17/06/2015,List((0.000197,0.000197)))
(24/11/2015,List((0.000129,0.000128)))
(04/03/2014,List((0.001099,0.001044)))
(11/04/2017,List((0.000396,0.000390)))
(29/01/2017,List((0.000209,0.000204)))
(22/12/2014,List((0.000193,0.000195)))
(10/03/2017,List((0.000211,0.000204)))
(21/11/2014,List((0.000210,0.000209)))
(30/05/2017,List((0.002734,0.002623)))
(29/06/2014,List((0.000275,0.000271)))
(13/01/2014,List((0.000344,0.000278)))
(16/01/2015,List((0.000140,0.000142)))
(13/04/2015,List((0.000114,0.000106)))
(10/12/2015,List((0.000142,0.000139)))
(30/09/2015,List((0.000121,0.000123)))
(08/01/2014,List((0.000223,0.000228)))
(18/07/2017,List((0.001523,0.001864)))
(09/08/2014,List((0.000170,0.000167)))
(12/09/2015,List((0.000131,0.000127)))
(07/08/2016,List((0.000231,0.000264)))
(12/04/2014,List((0.000441,0.000420)))
(19/10/2016,List((0.000222,0.000219)))
(13/09/2014,List((0.000205,0.000267)))
(10/05/2017,List((0.001253,0.001239)))
(20/11/2015,List((0.000130,0.000131)))
(16/08/2016,List((0.000242,0.000258)))
(05/09/2015,List((0.000125,0.000130)))
(21/09/2015,List((0.000126,0.000130)))
(07/12/2015,List((0.000127,0.000133)))
(10/09/2017,List((0.001573,0.001395)))
(04/02/2015,List((0.000148,0.000147)))
(15/12/2016,List((0.000215,0.000215)))
(05/08/2014,List((0.000201,0.000189)))
(28/07/2014,List((0.000217,0.000203)))
(27/11/2016,List((0.000219,0.000217)))
(02/01/2014,List((0.000449,0.000353)))
(03/10/2015,List((0.000122,0.000121)))
(03/09/2015,List((0.000126,0.000122)))
(19/09/2014,List((0.000298,0.000277)))
(15/02/2017,List((0.000208,0.000209)))
(07/01/2015,List((0.000167,0.000173)))
(19/07/2014,List((0.000247,0.000245)))
(28/12/2016,List((0.000227,0.000223)))
(02/07/2014,List((0.000257,0.000223)))
(31/01/2014,List((0.001522,0.001560)))
(27/08/2014,List((0.000144,0.000139)))
(11/12/2016,List((0.000214,0.000223)))
(10/02/2016,List((0.000291,0.000298)))
(23/08/2014,List((0.000125,0.000120)))
(22/01/2014,List((0.001977,0.001497)))
(10/01/2015,List((0.000171,0.000162)))
(14/12/2015,List((0.000143,0.000145)))
(10/08/2016,List((0.000240,0.000239)))
(16/12/2015,List((0.000150,0.000150)))
(12/05/2015,List((0.000093,0.000111)))
(08/03/2016,List((0.000231,0.000220)))
(26/03/2014,List((0.000653,0.000639)))
(10/11/2016,List((0.000229,0.000228)))
(29/08/2014,List((0.000132,0.000129)))
(14/11/2014,List((0.000250,0.000239)))
(11/12/2014,List((0.000208,0.000206)))
(02/08/2017,List((0.001790,0.001788)))
(04/04/2015,List((0.000129,0.000128)))
(12/11/2016,List((0.000226,0.000220)))
(16/06/2014,List((0.000374,0.000365)))
(27/02/2016,List((0.000259,0.000255)))
(03/12/2015,List((0.000130,0.000129)))
(19/10/2014,List((0.000258,0.000244)))
(13/10/2016,List((0.000225,0.000227)))
(13/02/2015,List((0.000142,0.000143)))
(15/10/2016,List((0.000225,0.000224)))
(21/09/2017,List((0.000850,0.000755)))
(24/07/2014,List((0.000224,0.000217)))
(12/11/2014,List((0.000224,0.000243)))
(22/08/2015,List((0.000145,0.000137)))
(30/04/2016,List((0.000226,0.000226)))
(08/05/2014,List((0.000472,0.000471)))
(05/03/2017,List((0.000204,0.000206)))
(25/04/2016,List((0.000228,0.000227)))
(08/04/2017,List((0.000398,0.000432)))
(14/07/2015,List((0.000200,0.000194)))
(11/02/2015,List((0.000140,0.000138)))
(27/12/2015,List((0.000139,0.000145)))
(10/06/2014,List((0.000363,0.000382)))
(21/12/2013,List((0.000700,0.000394)))
(29/10/2017,List((0.001037,0.001173)))
(13/08/2015,List((0.000160,0.000156)))
(24/06/2015,List((0.000187,0.000178)))
(29/07/2017,List((0.001772,0.001768)))
(24/07/2016,List((0.000254,0.000249)))
(25/04/2014,List((0.000587,0.000476)))
(16/02/2014,List((0.001517,0.001413)))
(26/01/2014,List((0.001844,0.001594)))
(13/12/2014,List((0.000205,0.000202)))
(25/07/2015,List((0.000188,0.000188)))
(29/02/2016,List((0.000254,0.000250)))
(28/05/2016,List((0.000230,0.000237)))
(01/01/2015,List((0.000186,0.000183)))
(29/01/2015,List((0.000146,0.000147)))
(06/01/2016,List((0.000137,0.000135)))
(15/11/2015,List((0.000130,0.000125)))
(19/06/2017,List((0.003219,0.003141)))
(06/05/2016,List((0.000220,0.000225)))
(29/12/2013,List((0.000459,0.000454)))
(27/05/2017,List((0.002428,0.002541)))
(22/07/2016,List((0.000239,0.000237)))
(16/04/2014,List((0.000592,0.000708)))
(27/06/2016,List((0.000283,0.000288)))
(14/02/2014,List((0.001565,0.001584)))
(14/10/2017,List((0.001047,0.001110)))
(16/12/2013,List((0.000299,0.000205)))
(08/08/2015,List((0.000169,0.000158)))
(19/02/2017,List((0.000197,0.000208)))
(07/10/2015,List((0.000122,0.000121)))
(04/12/2014,List((0.000237,0.000230)))
(04/11/2015,List((0.000156,0.000149)))
(16/10/2017,List((0.001107,0.001164)))
(26/12/2014,List((0.000187,0.000190)))
(02/03/2016,List((0.000247,0.000244)))
(06/04/2017,List((0.000437,0.000450)))
(27/10/2015,List((0.000116,0.000118)))
(11/11/2015,List((0.000124,0.000125)))
(23/04/2016,List((0.000224,0.000224)))
(26/02/2015,List((0.000142,0.000143)))
(31/10/2014,List((0.000238,0.000236)))
(28/04/2015,List((0.000104,0.000099)))
(28/08/2015,List((0.000129,0.000132)))
(19/11/2015,List((0.000135,0.000130)))
(21/11/2016,List((0.000218,0.000222)))
(30/01/2015,List((0.000146,0.000142)))
(19/04/2017,List((0.000456,0.000448)))
(21/01/2017,List((0.000206,0.000208)))
(28/11/2015,List((0.000133,0.000130)))
(12/05/2017,List((0.001215,0.001183)))
(07/05/2017,List((0.001176,0.001305)))
(28/08/2017,List((0.001764,0.001825)))
(19/05/2016,List((0.000228,0.000225)))
(18/04/2014,List((0.000644,0.000617)))
(14/11/2016,List((0.000225,0.000223)))
(29/09/2017,List((0.001105,0.001082)))
(17/06/2017,List((0.003135,0.003322)))
(21/07/2017,List((0.001954,0.001936)))
(25/08/2016,List((0.000231,0.000229)))
(23/11/2016,List((0.000223,0.000219)))
(20/05/2014,List((0.000444,0.000466)))
(08/09/2014,List((0.000188,0.000175)))
(20/12/2014,List((0.000194,0.000206)))
(20/12/2016,List((0.000219,0.000219)))
